wavelength,transmission,log,
428,1.0888,-1.963051888,-1.762667702
429,0.7083,-2.149782758,-1.943721291
430,0.7261,-2.139003563,-1.942351222
431,1.3078,-1.883458667,-1.95204689
432,2.6518,-1.576459234,-1.977662314
433,0.9738,-2.01153023,-1.949792142
434,0.5274,-2.277859875,-1.915934958
435,1.0008,-1.999652703,-2.234911132
436,1.9312,-1.714172747,-2.604629268
437,0.0674,-3.171340103,-3.011018078
438,0.0138,-3.860120914,-3.535045289
439,0.0049,-4.30980392,-4.156992487
440,0.0024,-4.619788758,-4.51444593
441,0.0015,-4.823908741,-4.73414321
442,0.0011,-4.958607315,-4.856346177
443,0.0011,-4.958607315,-4.891564428
444,0.0012,-4.920818754,-4.843788011
445,0.0016,-4.795880017,-4.699380949
446,0.0026,-4.585026652,-4.45422514
447,0.0058,-4.236572006,-4.070409522
448,0.0185,-3.732828272,-3.509556072
449,0.0996,-3.001740662,-2.964827055
450,1.0195,-1.99161277,-2.706513482
451,1.376,-1.861381566,-2.656773058
452,0.1135,-2.945004138,-2.791568435
453,0.0328,-3.484126156,-3.092760457
454,0.0211,-3.675717545,-3.18191476
455,0.0318,-3.49757288,-3.288686316
456,0.493,-2.307153081,-3.453821868
457,0.0332,-3.478861916,-3.672588575
458,0.0049,-4.30980392,-4.004054391
459,0.0017,-4.769551079,-4.647199524
460,0.0007,-5.15490196,-5.091221142
461,0.0003,-5.522878745,-5.369054359
462,0.0002,-5.698970004,-5.519719892
463,0.0002,-5.698970004,-5.548945499
464,0.0003,-5.522878745,-5.421581079
465,0.0005,-5.301029996,-5.202199077
466,0.0013,-4.886056648,-4.919204407
467,0.0025,-4.602059991,-4.555735413
468,0.0052,-4.283996656,-4.003019868
469,0.0197,-3.705533774,-3.46257354
470,0.2901,-2.537452271,-3.082434586
471,0.6549,-2.18382501,-2.778227096
472,0.1989,-2.701365217,-2.540831816
473,0.1726,-2.762959209,-2.31337566
474,0.303,-2.518557371,-2.470086905
475,3.9795,-1.400171491,-2.698141364
476,0.1078,-2.967381239,-3.031909177
477,0.0144,-3.841637508,-3.505409032
478,0.0037,-4.431798276,-4.269744484
479,0.0013,-4.886056648,-4.780843985
480,0.0006,-5.22184875,-5.152310485
481,0.0003,-5.522878745,-5.465950829
482,0.0002,-5.698970004,-5.6887395
483,0.0001,-6,-5.84436975
484,0.0001,-6,-5.939794001
485,0.0001,-6,-6
486,0.0001,-6,-5.939794001
487,0.0001,-6,-5.819382003
488,0.0002,-5.698970004,-5.698970004
489,0.0004,-5.397940009,-5.603545753
490,0.0004,-5.397940009,-5.483133755
491,0.0003,-5.522878745,-5.362721757
492,0.0004,-5.397940009,-5.362721757
493,0.0008,-5.096910013,-5.483133755
494,0.0004,-5.397940009,-5.578558006
495,0.0001,-6,-5.298970004
496,0.0001,-6,-5.079588002
497,0,-4,-4.8
498,0,-4,-4.4
499,0,-4,-4
500,0,-4,-4
501,0,-4,-4
502,0,-4,-4
503,0,-4,-4
504,0,-4,-4
505,0,-4,-4
506,0,-4,-4.4
507,0,-4,-4.630980392
508,0.0001,-6,-4.84013189
509,0.0007,-5.15490196,-5.119719892
510,0.0009,-5.045757491,-5.424295641
511,0.0004,-5.397940009,-5.32887139
512,0.0003,-5.522878745,-5.437684999
513,0.0003,-5.522878745,-5.53310925
514,0.0002,-5.698970004,-5.48450164
515,0.0003,-5.522878745,-5.300337889
516,0.0007,-5.15490196,-4.944707639
517,0.0025,-4.602059991,-4.584839529
518,0.018,-3.744727495,-4.294379995
519,0.0126,-3.899629455,-4.052018633
520,0.0085,-4.070581074,-3.820346134
521,0.0114,-3.943095149,-3.278064369
522,0.036,-3.443697499,-3.172052903
523,9.2615,-1.033318669,-3.148872093
524,0.0427,-3.369572125,-3.233559372
525,0.0111,-3.954677021,-3.493765371
526,0.0043,-4.366531544,-4.30648364
527,0.0018,-4.744727495,-4.712157216
528,0.0008,-5.096910013,-5.061015813
529,0.0004,-5.397940009,-5.387709504
530,0.0002,-5.698970004,-5.638764005
531,0.0001,-6,-5.819382003
532,0.0001,-6,-5.539794001
533,0.0001,-6,-5.2
534,0,-4,-4.8
535,0,-4,-4.4
536,0,-4,-4
537,0,-4,-4.4
538,0,-4,-4.8
539,0.0001,-6,-5.139794001
540,0.0001,-6,-5.419382003
541,0.0002,-5.698970004,-5.578558006
542,0.0004,-5.397940009,-5.110866707
543,0.0016,-4.795880017,-4.630586599
544,0.0218,-3.661543506,-4.352753382
545,0.0252,-3.598599459,-4.180685781
546,0.0049,-4.30980392,-4.14916421
547,0.0029,-4.537602002,-4.348370973
548,0.0023,-4.638272164,-4.549063079
549,0.0022,-4.657577319,-4.580806512
550,0.0025,-4.602059991,-4.517655861
551,0.0034,-4.468521083,-4.354206039
552,0.006,-4.22184875,-4.051586744
553,0.0151,-3.821023053,-3.49133345
554,0.0717,-3.144480844,-3.119089843
555,1.582,-1.800793521,-2.871396983
556,0.247,-2.607303047,-2.724641712
