wavelength,transmission,
669,1.25E-05,
670,1.43E-05,
671,1.29E-05,
672,1.44E-05,
673,1.30E-05,
674,1.29E-05,
675,1.52E-05,
676,1.76E-05,
677,1.90E-05,
678,2.83E-05,
679,3.59E-05,
680,4.05E-05,
681,4.88E-05,
682,5.49E-05,
683,5.90E-05,
684,6.25E-05,
685,6.27E-05,
686,5.76E-05,
687,4.99E-05,
688,4.10E-05,
689,3.24E-05,
690,2.88E-05,
691,2.59E-05,
692,2.30E-05,
693,2.10E-05,
694,2.35E-05,
695,2.43E-05,
696,2.81E-05,
697,3.19E-05,
698,4.06E-05,
699,5.25E-05,
700,7.26E-05,
701,1.03E-04,
702,1.43E-04,
703,1.95E-04,
704,2.55E-04,
705,3.12E-04,
706,3.52E-04,
707,3.63E-04,
708,3.38E-04,
709,2.86E-04,
710,2.36E-04,
711,1.95E-04,
712,1.67E-04,
713,1.55E-04,
714,1.53E-04,
715,1.67E-04,
716,2.04E-04,
717,2.71E-04,
718,3.69E-04,
719,4.68E-04,
720,4.80E-04,
721,3.91E-04,
722,2.69E-04,
723,1.78E-04,
724,1.21E-04,
725,8.93E-05,
726,7.14E-05,
727,5.38E-05,
728,4.21E-05,
729,3.90E-05,
730,3.11E-05,
731,2.73E-05,
732,2.61E-05,
733,2.11E-05,
734,2.07E-05,
735,2.23E-05,
736,2.31E-05,
737,2.07E-05,
738,2.36E-05,
739,2.28E-05,
740,2.82E-05,
741,2.96E-05,
742,3.40E-05,
743,4.47E-05,
744,5.77E-05,
745,8.70E-05,
746,1.31E-04,
747,1.75E-04,
748,2.14E-04,
749,2.36E-04,
750,2.53E-04,
751,2.70E-04,
752,2.97E-04,
753,3.44E-04,
754,4.07E-04,
755,4.52E-04,
756,4.38E-04,
757,3.52E-04,
758,2.48E-04,
759,1.69E-04,
760,1.17E-04,
761,7.96E-05,
762,6.89E-05,
763,5.72E-05,
764,5.32E-05,
765,4.46E-05,
766,4.98E-05,
767,5.42E-05,
768,6.19E-05,
769,6.93E-05,
770,9.12E-05,
771,1.17E-04,
772,1.63E-04,
773,2.23E-04,
774,3.07E-04,
775,3.66E-04,
776,3.70E-04,
777,3.26E-04,
778,2.67E-04,
779,2.06E-04,
780,1.73E-04,
781,1.58E-04,
782,1.41E-04,
783,1.31E-04,
784,1.31E-04,
785,1.37E-04,
786,1.39E-04,
787,1.41E-04,
788,1.50E-04,
789,1.57E-04,
790,1.60E-04,
791,1.67E-04,
792,1.73E-04,
793,1.84E-04,
794,1.96E-04,
795,2.26E-04,
796,2.50E-04,
797,2.93E-04,
798,3.48E-04,
799,4.15E-04,
800,4.94E-04,
801,5.76E-04,
802,6.35E-04,
803,6.50E-04,
804,6.10E-04,
805,5.40E-04,
806,4.66E-04,
807,4.07E-04,
808,3.57E-04,
809,3.20E-04,
810,3.11E-04,
811,3.01E-04,
812,3.05E-04,
813,3.20E-04,
814,3.44E-04,
815,3.95E-04,
816,4.75E-04,
817,5.93E-04,
818,7.65E-04,
819,1.03E-03,
820,1.39E-03,
821,1.83E-03,
822,2.24E-03,
823,2.50E-03,
824,0.00254,
825,2.37E-03,
826,2.07E-03,
827,1.74E-03,
828,1.43E-03,
829,1.18E-03,
830,1.00E-03,
831,8.65E-04,
832,7.86E-04,
833,7.34E-04,
834,7.18E-04,
835,7.31E-04,
836,7.73E-04,
837,8.48E-04,
838,9.23E-04,
839,1.02E-03,
840,1.09E-03,
841,1.11E-03,
842,1.05E-03,
843,9.37E-04,
844,7.77E-04,
845,6.16E-04,
846,4.66E-04,
847,3.50E-04,
848,2.64E-04,
849,2.13E-04,
850,1.52E-04,
851,1.18E-04,
852,1.00E-04,
853,8.63E-05,
854,6.78E-05,
855,5.75E-05,
856,5.16E-05,
857,4.33E-05,
858,4.53E-05,
859,3.75E-05,
860,2.66E-05,
861,3.12E-05,
862,6.54E-05,
863,1.67E-05,
864,-1.94E-05,
865,1.15E-05,
866,-2.56E-05,
867,-2.50E-05,
868,-7.64E-05,
869,-1.08E-04,
870,-8.99E-05,
871,-1.11E-04,
872,-8.71E-05,
873,-5.46E-05,
874,-6.64E-05,
875,-9.62E-05,
876,-1.08E-04,
877,-1.31E-04,
878,-1.13E-04,
879,-6.33E-05,
880,-2.42E-05,
881,-8.66E-05,
882,-1.89E-04,
883,-2.38E-04,
884,-1.85E-04,
885,-1.49E-04,
886,-1.44E-04,
887,-1.57E-04,
888,-1.66E-04,
889,-1.75E-04,
890,-1.68E-04,
891,-1.32E-04,
892,-1.13E-04,
893,-1.45E-04,
894,-1.74E-04,
895,-1.67E-04,
896,-1.53E-04,
897,-1.46E-04,
898,-1.50E-04,
899,-1.43E-04,
900,-1.45E-04,
901,-1.58E-04,
902,-1.50E-04,
903,-1.08E-04,
904,-1.31E-04,
905,-1.64E-04,
906,-1.52E-04,
907,-1.63E-04,
908,-1.44E-04,
909,-1.38E-04,
910,-1.72E-04,
911,-1.69E-04,
912,-1.57E-04,
913,-1.45E-04,
914,-1.43E-04,
915,-1.61E-04,
916,-1.61E-04,
917,-1.46E-04,
918,-1.20E-04,
919,-1.09E-04,
